DateTime;NO2;O3
2017-08-01 00:00:00;39.6;30.8
2017-08-01 01:00:00;33.1;37.1
2017-08-01 02:00:00;36.4;28.9
2017-08-01 03:00:00;35.1;21.1
2017-08-01 04:00:00;41.3;10.8
2017-08-01 05:00:00;50.2;3.0
2017-08-01 06:00:00;61.3;6.8
2017-08-01 07:00:00;60.1;10.5
2017-08-01 08:00:00;49.8;15.5
2017-08-01 09:00:00;37.9;20.2
2017-08-01 10:00:00;27.0;34.5
2017-08-01 11:00:00;20.3;43.6
2017-08-01 12:00:00;24.6;46.1
2017-08-01 13:00:00;30.8;46.6
2017-08-01 14:00:00;27.1;49.2
2017-08-01 15:00:00;24.4;48.8
2017-08-01 16:00:00;19.5;63.4
2017-08-01 17:00:00;19.8;57.7
2017-08-01 18:00:00;21.3;56.1
2017-08-01 19:00:00;24.5;49.9
2017-08-01 20:00:00;31.7;45.1
2017-08-01 21:00:00;36.2;40.0
2017-08-01 22:00:00;58.4;11.3
2017-08-01 23:00:00;53.7;15.4
2017-08-02 00:00:00;50.5;17.2
2017-08-02 01:00:00;40.8;21.1
2017-08-02 02:00:00;33.4;23.4
2017-08-02 03:00:00;30.9;25.9
2017-08-02 04:00:00;33.3;25.1
2017-08-02 05:00:00;44.4;18.9
2017-08-02 06:00:00;40.7;22.7
2017-08-02 07:00:00;42.5;27.3
2017-08-02 08:00:00;30.5;38.9
2017-08-02 09:00:00;24.9;47.4
2017-08-02 10:00:00;26.1;50.6
2017-08-02 11:00:00;29.6;49.8
2017-08-02 12:00:00;36.6;38.7
2017-08-02 13:00:00;43.2;37.6
2017-08-02 14:00:00;41.2;45.4
2017-08-02 15:00:00;26.8;52.0
2017-08-02 16:00:00;35.6;53.6
2017-08-02 17:00:00;31.8;57.5
2017-08-02 18:00:00;23.5;53.7
2017-08-02 19:00:00;30.4;45.2
2017-08-02 20:00:00;27.4;44.5
2017-08-02 21:00:00;22.4;50.9
2017-08-02 22:00:00;25.9;44.6
2017-08-02 23:00:00;22.5;42.1
2017-08-03 00:00:00;17.5;38.0
2017-08-03 01:00:00;16.2;37.1
2017-08-03 02:00:00;13.7;39.4
2017-08-03 03:00:00;14.2;41.7
2017-08-03 04:00:00;16.1;41.0
2017-08-03 05:00:00;28.6;38.6
2017-08-03 06:00:00;40.7;32.1
2017-08-03 07:00:00;48.8;28.9
2017-08-03 08:00:00;40.6;23.5
2017-08-03 09:00:00;30.7;22.9
2017-08-03 10:00:00;35.7;31.5
2017-08-03 11:00:00;17.3;59.9
2017-08-03 12:00:00;16.9;69.3
2017-08-03 13:00:00;11.8;69.8
2017-08-03 14:00:00;13.4;68.8
2017-08-03 15:00:00;11.1;67.0
2017-08-03 16:00:00;11.0;69.2
2017-08-03 17:00:00;9.8;68.9
2017-08-03 18:00:00;13.1;64.0
2017-08-03 19:00:00;8.0;64.2
2017-08-03 20:00:00;8.2;62.9
2017-08-03 21:00:00;9.3;58.7
2017-08-03 22:00:00;11.7;54.1
2017-08-03 23:00:00;7.1;55.9
2017-08-04 00:00:00;7.6;55.4
2017-08-04 01:00:00;5.8;56.4
2017-08-04 02:00:00;5.8;52.9
2017-08-04 03:00:00;4.4;54.2
2017-08-04 04:00:00;8.7;49.5
2017-08-04 05:00:00;18.1;43.5
2017-08-04 06:00:00;19.7;41.0
2017-08-04 07:00:00;26.9;32.0
2017-08-04 08:00:00;24.8;37.1
2017-08-04 09:00:00;17.3;46.8
2017-08-04 10:00:00;20.7;48.8
2017-08-04 11:00:00;20.7;57.5
2017-08-04 12:00:00;17.7;62.1
2017-08-04 13:00:00;16.0;65.9
2017-08-04 14:00:00;15.1;73.8
2017-08-04 15:00:00;12.3;76.4
2017-08-04 16:00:00;13.6;78.9
2017-08-04 17:00:00;15.5;77.2
2017-08-04 18:00:00;14.7;70.1
2017-08-04 19:00:00;16.6;60.1
2017-08-04 20:00:00;16.7;60.1
2017-08-04 21:00:00;22.1;57.5
2017-08-04 22:00:00;24.1;50.8
2017-08-04 23:00:00;38.4;35.1
2017-08-05 00:00:00;28.3;39.2
2017-08-05 01:00:00;19.3;43.8
2017-08-05 02:00:00;17.9;53.3
2017-08-05 03:00:00;29.1;48.7
2017-08-05 04:00:00;34.4;19.3
2017-08-05 05:00:00;35.1;16.9
2017-08-05 06:00:00;35.3;16.0
2017-08-05 07:00:00;38.2;17.7
2017-08-05 08:00:00;39.2;33.5
2017-08-05 09:00:00;19.5;45.9
2017-08-05 10:00:00;20.1;51.5
2017-08-05 11:00:00;23.8;50.1
2017-08-05 12:00:00;23.2;52.5
2017-08-05 13:00:00;24.1;53.9
2017-08-05 14:00:00;21.5;60.6
2017-08-05 15:00:00;17.6;64.9
2017-08-05 16:00:00;15.2;70.3
2017-08-05 17:00:00;15.2;69.2
2017-08-05 18:00:00;17.7;62.6
2017-08-05 19:00:00;17.5;56.7
2017-08-05 20:00:00;25.9;49.4
2017-08-05 21:00:00;31.0;42.5
2017-08-05 22:00:00;31.3;38.5
2017-08-05 23:00:00;36.5;30.8
2017-08-06 00:00:00;27.0;38.6
2017-08-06 01:00:00;27.3;37.7
2017-08-06 02:00:00;33.8;26.1
2017-08-06 03:00:00;30.4;25.2
2017-08-06 04:00:00;36.5;16.4
2017-08-06 05:00:00;40.9;12.7
2017-08-06 06:00:00;38.6;15.9
2017-08-06 07:00:00;31.2;27.0
2017-08-06 08:00:00;14.7;48.7
2017-08-06 09:00:00;16.0;52.7
2017-08-06 10:00:00;9.6;59.4
2017-08-06 11:00:00;11.8;60.1
2017-08-06 12:00:00;14.7;65.7
2017-08-06 13:00:00;11.4;70.3
2017-08-06 14:00:00;11.2;72.6
2017-08-06 15:00:00;12.0;73.7
2017-08-06 16:00:00;9.1;76.5
2017-08-06 17:00:00;12.0;76.4
2017-08-06 18:00:00;15.9;72.6
2017-08-06 19:00:00;18.0;65.6
2017-08-06 20:00:00;25.1;53.1
2017-08-06 21:00:00;34.7;37.8
2017-08-06 22:00:00;37.3;34.1
2017-08-06 23:00:00;57.1;19.0
2017-08-07 00:00:00;49.4;25.2
2017-08-07 01:00:00;34.1;33.9
2017-08-07 02:00:00;30.0;32.0
2017-08-07 03:00:00;29.5;31.4
2017-08-07 04:00:00;27.9;28.6
2017-08-07 05:00:00;40.1;18.6
2017-08-07 06:00:00;46.8;17.3
2017-08-07 07:00:00;47.9;18.5
2017-08-07 08:00:00;45.7;28.4
2017-08-07 09:00:00;41.9;38.1
2017-08-07 10:00:00;42.8;38.1
2017-08-07 11:00:00;36.8;49.0
2017-08-07 12:00:00;38.2;51.1
2017-08-07 13:00:00;32.5;50.9
2017-08-07 14:00:00;27.4;60.8
2017-08-07 15:00:00;23.1;67.2
2017-08-07 16:00:00;20.2;71.6
2017-08-07 17:00:00;22.0;72.8
2017-08-07 18:00:00;25.0;65.7
2017-08-07 19:00:00;22.9;65.7
2017-08-07 20:00:00;22.3;58.0
2017-08-07 21:00:00;17.0;58.6
2017-08-07 22:00:00;20.3;51.0
2017-08-07 23:00:00;16.2;53.5
2017-08-08 00:00:00;10.5;57.7
2017-08-08 01:00:00;8.5;59.9
2017-08-08 02:00:00;5.9;67.0
2017-08-08 03:00:00;9.0;69.4
2017-08-08 04:00:00;10.6;67.3
2017-08-08 05:00:00;18.8;55.5
2017-08-08 06:00:00;27.2;48.1
2017-08-08 07:00:00;29.6;40.7
2017-08-08 08:00:00;25.7;45.2
2017-08-08 09:00:00;26.7;41.4
2017-08-08 10:00:00;31.7;38.0
2017-08-08 11:00:00;58.2;22.4
2017-08-08 12:00:00;60.2;23.2
2017-08-08 13:00:00;60.4;21.0
2017-08-08 14:00:00;59.6;15.6
2017-08-08 15:00:00;49.0;34.1
2017-08-08 16:00:00;38.3;61.8
2017-08-08 17:00:00;40.8;59.6
2017-08-08 18:00:00;35.3;62.0
2017-08-08 19:00:00;21.1;81.1
2017-08-08 20:00:00;17.2;82.2
2017-08-08 21:00:00;19.2;77.3
2017-08-08 22:00:00;31.5;61.0
2017-08-08 23:00:00;42.3;49.5
2017-08-09 00:00:00;33.3;48.4
2017-08-09 01:00:00;18.3;64.4
2017-08-09 02:00:00;17.9;54.1
2017-08-09 03:00:00;16.9;47.4
2017-08-09 04:00:00;19.8;35.0
2017-08-09 05:00:00;29.3;20.4
2017-08-09 06:00:00;35.5;18.9
2017-08-09 07:00:00;37.6;13.8
2017-08-09 08:00:00;40.6;20.7
2017-08-09 09:00:00;36.0;28.9
2017-08-09 10:00:00;38.4;33.2
2017-08-09 11:00:00;32.3;41.5
2017-08-09 12:00:00;29.7;54.3
2017-08-09 13:00:00;30.2;43.8
2017-08-09 14:00:00;29.7;52.7
2017-08-09 15:00:00;29.8;62.1
2017-08-09 16:00:00;24.2;69.9
2017-08-09 17:00:00;20.6;74.8
2017-08-09 18:00:00;21.9;74.5
2017-08-09 19:00:00;23.8;71.1
2017-08-09 20:00:00;21.7;63.7
2017-08-09 21:00:00;20.1;67.6
2017-08-09 22:00:00;25.3;59.6
2017-08-09 23:00:00;23.3;57.3
2017-08-10 00:00:00;20.7;60.6
2017-08-10 01:00:00;18.0;58.8
2017-08-10 02:00:00;17.5;59.5
2017-08-10 03:00:00;17.3;61.8
2017-08-10 04:00:00;19.8;52.8
2017-08-10 05:00:00;22.6;58.5
2017-08-10 06:00:00;36.8;41.6
2017-08-10 07:00:00;39.8;37.6
2017-08-10 08:00:00;33.1;41.0
2017-08-10 09:00:00;20.9;56.5
2017-08-10 10:00:00;16.6;67.9
2017-08-10 11:00:00;16.0;68.2
2017-08-10 12:00:00;16.2;63.7
2017-08-10 13:00:00;13.5;62.2
2017-08-10 14:00:00;12.9;70.8
2017-08-10 15:00:00;9.8;70.2
2017-08-10 16:00:00;11.5;69.5
2017-08-10 17:00:00;14.2;65.8
2017-08-10 18:00:00;11.0;65.2
2017-08-10 19:00:00;9.4;64.5
2017-08-10 20:00:00;8.3;65.0
2017-08-10 21:00:00;14.1;52.2
2017-08-10 22:00:00;16.9;48.0
2017-08-10 23:00:00;10.5;50.0
2017-08-11 00:00:00;9.0;49.7
2017-08-11 01:00:00;9.5;47.9
2017-08-11 02:00:00;9.8;45.3
2017-08-11 03:00:00;25.3;33.1
2017-08-11 04:00:00;15.2;43.7
2017-08-11 05:00:00;18.3;38.2
2017-08-11 06:00:00;27.0;33.4
2017-08-11 07:00:00;38.5;25.8
2017-08-11 08:00:00;31.4;35.3
2017-08-11 09:00:00;36.8;36.2
2017-08-11 10:00:00;36.6;39.6
2017-08-11 11:00:00;35.8;42.3
2017-08-11 12:00:00;36.8;41.1
2017-08-11 13:00:00;30.7;50.7
2017-08-11 14:00:00;25.6;62.2
2017-08-11 15:00:00;13.6;69.7
2017-08-11 16:00:00;13.2;68.0
2017-08-11 17:00:00;16.7;70.7
2017-08-11 18:00:00;15.4;74.3
2017-08-11 19:00:00;17.3;77.8
2017-08-11 20:00:00;24.4;77.8
2017-08-11 21:00:00;21.9;74.5
2017-08-11 22:00:00;24.7;59.3
2017-08-11 23:00:00;29.0;43.0
2017-08-12 00:00:00;21.1;45.4
2017-08-12 01:00:00;22.0;37.3
2017-08-12 02:00:00;22.3;32.5
2017-08-12 03:00:00;19.9;30.1
2017-08-12 04:00:00;9.1;34.3
2017-08-12 05:00:00;13.2;28.6
2017-08-12 06:00:00;13.1;26.6
2017-08-12 07:00:00;15.1;26.0
2017-08-12 08:00:00;19.3;20.9
