DateTime;NO2;O3;P;SQ;WD;Wvh;dewP;temp
2021-08-01 00:00:00;23.5;47.1;50.0;0.0;200.0;30.0;148.0;156.0
2021-08-01 01:00:00;23.0;36.1;60.0;0.0;220.0;40.0;144.0;152.0
2021-08-01 02:00:00;23.8;30.7;50.0;0.0;190.0;30.0;143.0;150.0
2021-08-01 03:00:00;24.6;27.2;50.0;0.0;200.0;30.0;148.0;156.0
2021-08-01 04:00:00;23.3;27.6;50.0;5.0;200.0;40.0;151.0;157.0
2021-08-01 05:00:00;20.8;28.2;60.0;0.0;210.0;40.0;158.0;165.0
2021-08-01 06:00:00;20.7;23.6;50.0;0.0;210.0;40.0;161.0;175.0
2021-08-01 07:00:00;20.1;24.7;70.0;0.0;270.0;50.0;158.0;183.0
2021-08-01 08:00:00;15.0;40.6;70.0;4.0;290.0;40.0;153.0;170.0
2021-08-01 09:00:00;10.4;55.5;70.0;3.0;270.0;30.0;153.0;171.0
2021-08-01 10:00:00;8.3;57.3;70.0;0.0;300.0;40.0;148.0;186.0
2021-08-01 11:00:00;6.5;59.9;100.0;0.0;310.0;60.0;144.0;168.0
2021-08-01 12:00:00;4.3;68.5;70.0;5.0;300.0;50.0;154.0;171.0
2021-08-01 13:00:00;4.1;64.4;80.0;0.0;310.0;50.0;134.0;183.0
2021-08-01 14:00:00;3.6;62.9;90.0;0.0;310.0;60.0;130.0;175.0
2021-08-01 15:00:00;2.6;63.1;80.0;0.0;320.0;50.0;121.0;172.0
2021-08-01 16:00:00;2.2;61.4;80.0;0.0;300.0;60.0;118.0;177.0
2021-08-01 17:00:00;1.7;63.4;80.0;0.0;310.0;50.0;112.0;162.0
2021-08-01 18:00:00;1.8;62.9;70.0;0.0;310.0;50.0;112.0;152.0
2021-08-01 19:00:00;1.8;63.5;60.0;0.0;300.0;30.0;110.0;145.0
2021-08-01 20:00:00;4.8;57.8;30.0;0.0;300.0;20.0;98.0;121.0
2021-08-01 21:00:00;5.9;46.4;30.0;0.0;290.0;20.0;94.0;115.0
2021-08-01 22:00:00;5.3;47.7;20.0;0.0;320.0;20.0;99.0;115.0
2021-08-01 23:00:00;4.5;51.0;30.0;0.0;330.0;10.0;100.0;116.0
2021-08-02 00:00:00;10.2;38.9;30.0;0.0;270.0;10.0;96.0;113.0
2021-08-02 01:00:00;13.7;41.0;30.0;0.0;270.0;20.0;97.0;112.0
2021-08-02 02:00:00;4.8;45.1;30.0;0.0;260.0;20.0;92.0;102.0
2021-08-02 03:00:00;6.3;33.6;30.0;0.0;260.0;20.0;88.0;97.0
2021-08-02 04:00:00;16.9;21.8;30.0;0.0;290.0;20.0;96.0;113.0
2021-08-02 05:00:00;20.9;25.5;30.0;0.0;0.0;10.0;121.0;135.0
2021-08-02 06:00:00;16.9;31.2;10.0;0.0;0.0;0.0;121.0;153.0
2021-08-02 07:00:00;13.1;37.2;40.0;0.0;320.0;10.0;123.0;164.0
2021-08-02 08:00:00;9.5;53.3;60.0;0.0;310.0;40.0;94.0;172.0
2021-08-02 09:00:00;4.1;63.1;60.0;0.0;300.0;40.0;105.0;181.0
2021-08-02 10:00:00;3.1;68.2;70.0;0.0;290.0;40.0;98.0;181.0
2021-08-02 11:00:00;5.2;66.4;70.0;0.0;290.0;50.0;95.0;186.0
2021-08-02 12:00:00;4.0;69.1;80.0;0.0;310.0;50.0;105.0;195.0
2021-08-02 13:00:00;4.3;69.5;90.0;0.0;300.0;50.0;113.0;182.0
2021-08-02 14:00:00;4.2;69.9;90.0;0.0;310.0;50.0;105.0;189.0
2021-08-02 15:00:00;6.2;68.1;80.0;0.0;320.0;50.0;106.0;179.0
2021-08-02 16:00:00;5.0;70.7;70.0;0.0;330.0;40.0;105.0;163.0
2021-08-02 17:00:00;3.7;71.5;60.0;0.0;330.0;30.0;109.0;168.0
2021-08-02 18:00:00;2.7;70.7;50.0;0.0;310.0;30.0;102.0;147.0
2021-08-02 19:00:00;4.1;66.8;40.0;0.0;320.0;20.0;96.0;137.0
2021-08-02 20:00:00;7.7;58.3;20.0;0.0;330.0;20.0;95.0;128.0
2021-08-02 21:00:00;7.0;42.8;10.0;0.0;0.0;10.0;100.0;122.0
2021-08-02 22:00:00;9.5;37.6;10.0;0.0;330.0;10.0;100.0;121.0
2021-08-02 23:00:00;10.4;34.1;10.0;0.0;320.0;0.0;105.0;114.0
2021-08-03 00:00:00;12.9;24.3;10.0;0.0;0.0;0.0;108.0;112.0
2021-08-03 01:00:00;11.9;27.6;10.0;0.0;320.0;0.0;107.0;112.0
2021-08-03 02:00:00;9.2;33.2;10.0;0.0;0.0;0.0;105.0;110.0
2021-08-03 03:00:00;9.6;30.4;20.0;0.0;60.0;10.0;113.0;121.0
2021-08-03 04:00:00;6.6;30.1;20.0;0.0;30.0;10.0;99.0;125.0
2021-08-03 05:00:00;10.2;37.1;30.0;0.0;20.0;20.0;116.0;139.0
2021-08-03 06:00:00;18.7;36.7;30.0;0.0;70.0;20.0;115.0;165.0
2021-08-03 07:00:00;18.7;36.7;40.0;0.0;10.0;20.0;114.0;165.0
2021-08-03 08:00:00;18.7;55.3;40.0;0.0;10.0;20.0;115.0;161.0
2021-08-03 09:00:00;5.6;58.5;50.0;0.0;10.0;30.0;117.0;163.0
2021-08-03 10:00:00;5.3;62.6;50.0;0.0;340.0;30.0;121.0;177.0
2021-08-03 11:00:00;4.8;67.6;60.0;0.0;340.0;40.0;111.0;180.0
2021-08-03 12:00:00;3.2;71.7;60.0;0.0;10.0;30.0;125.0;199.0
2021-08-03 13:00:00;3.3;72.3;70.0;0.0;60.0;40.0;106.0;180.0
2021-08-03 14:00:00;3.8;72.9;60.0;0.0;70.0;40.0;115.0;176.0
2021-08-03 15:00:00;5.0;72.6;60.0;0.0;70.0;40.0;117.0;174.0
2021-08-03 16:00:00;4.4;73.0;40.0;0.0;60.0;30.0;116.0;179.0
2021-08-03 17:00:00;4.0;74.8;50.0;0.0;90.0;30.0;112.0;172.0
2021-08-03 18:00:00;4.7;72.8;50.0;0.0;60.0;30.0;111.0;162.0
2021-08-03 19:00:00;5.3;71.2;40.0;0.0;30.0;20.0;108.0;145.0
