DateTime;NO2;O3
2017-08-01 00:00:00;66.3;2.3
2017-08-01 01:00:00;67.6;1.0
2017-08-01 02:00:00;58.1;0.9
2017-08-01 03:00:00;62.5;0.4
2017-08-01 04:00:00;59.0;0.5
2017-08-01 05:00:00;54.8;1.4
2017-08-01 06:00:00;55.2;2.9
2017-08-01 07:00:00;42.8;19.2
2017-08-01 08:00:00;27.3;34.6
2017-08-01 09:00:00;21.2;34.0
2017-08-01 10:00:00;28.8;41.3
2017-08-01 11:00:00;24.8;44.3
2017-08-01 12:00:00;12.6;49.9
2017-08-01 13:00:00;20.8;46.2
2017-08-01 14:00:00;23.3;51.2
2017-08-01 15:00:00;19.9;54.6
2017-08-01 16:00:00;15.5;56.8
2017-08-01 17:00:00;14.9;58.4
2017-08-01 18:00:00;19.3;57.1
2017-08-01 19:00:00;24.1;50.5
2017-08-01 20:00:00;42.0;29.7
2017-08-01 21:00:00;37.1;33.3
2017-08-01 22:00:00;61.7;9.2
2017-08-01 23:00:00;48.9;21.3
2017-08-02 00:00:00;34.0;28.2
2017-08-02 01:00:00;30.0;29.5
2017-08-02 02:00:00;33.4;23.2
2017-08-02 03:00:00;53.5;12.5
2017-08-02 04:00:00;35.1;26.4
2017-08-02 05:00:00;32.9;31.4
2017-08-02 06:00:00;33.0;32.9
2017-08-02 07:00:00;38.0;26.8
2017-08-02 08:00:00;36.5;27.1
2017-08-02 09:00:00;35.1;25.0
2017-08-02 10:00:00;28.8;30.8
2017-08-02 11:00:00;17.4;43.6
2017-08-02 12:00:00;18.3;47.8
2017-08-02 13:00:00;20.4;49.2
2017-08-02 14:00:00;30.9;49.7
2017-08-02 15:00:00;17.2;63.3
2017-08-02 16:00:00;16.6;63.9
2017-08-02 17:00:00;14.1;58.0
2017-08-02 18:00:00;31.1;42.7
2017-08-02 19:00:00;52.5;18.5
2017-08-02 20:00:00;42.6;29.1
2017-08-02 21:00:00;51.8;14.3
2017-08-02 22:00:00;42.0;19.5
2017-08-02 23:00:00;24.3;34.3
2017-08-03 00:00:00;20.6;35.6
2017-08-03 01:00:00;31.9;26.3
2017-08-03 02:00:00;25.0;29.5
2017-08-03 03:00:00;14.3;46.6
2017-08-03 04:00:00;17.8;45.2
2017-08-03 05:00:00;33.0;29.0
2017-08-03 06:00:00;29.6;30.7
2017-08-03 07:00:00;22.3;32.6
2017-08-03 08:00:00;18.1;29.5
2017-08-03 09:00:00;30.6;24.0
2017-08-03 10:00:00;25.8;42.2
2017-08-03 11:00:00;10.7;63.3
2017-08-03 12:00:00;9.7;65.8
2017-08-03 13:00:00;8.8;66.7
2017-08-03 14:00:00;11.1;68.5
2017-08-03 15:00:00;10.5;68.3
2017-08-03 16:00:00;14.7;66.4
2017-08-03 17:00:00;8.6;68.5
2017-08-03 18:00:00;12.0;61.1
2017-08-03 19:00:00;13.0;59.4
2017-08-03 20:00:00;16.8;54.3
2017-08-03 21:00:00;18.3;47.6
2017-08-03 22:00:00;19.7;45.2
2017-08-03 23:00:00;24.1;38.3
2017-08-04 00:00:00;10.3;52.9
2017-08-04 01:00:00;12.4;44.8
2017-08-04 02:00:00;39.3;17.9
2017-08-04 03:00:00;35.9;22.4
2017-08-04 04:00:00;32.7;22.5
2017-08-04 05:00:00;29.6;24.6
2017-08-04 06:00:00;25.4;27.2
2017-08-04 07:00:00;32.7;18.8
2017-08-04 08:00:00;32.1;21.1
2017-08-04 09:00:00;11.5;52.4
2017-08-04 10:00:00;9.9;57.5
2017-08-04 11:00:00;7.4;67.3
2017-08-04 12:00:00;11.3;63.2
2017-08-04 13:00:00;7.6;70.7
2017-08-04 14:00:00;5.9;75.2
2017-08-04 15:00:00;5.0;78.8
2017-08-04 16:00:00;9.0;76.1
2017-08-04 17:00:00;9.0;69.8
2017-08-04 18:00:00;7.3;68.0
2017-08-04 19:00:00;15.5;62.2
2017-08-04 20:00:00;22.3;55.1
2017-08-04 21:00:00;17.6;58.2
2017-08-04 22:00:00;13.9;52.3
2017-08-04 23:00:00;16.6;48.8
2017-08-05 00:00:00;20.8;44.7
2017-08-05 01:00:00;20.1;43.0
2017-08-05 02:00:00;33.8;22.1
2017-08-05 03:00:00;28.1;25.0
2017-08-05 04:00:00;21.4;26.0
2017-08-05 05:00:00;25.0;19.1
2017-08-05 06:00:00;32.3;13.1
