DateTime;NO2;O3;P;SQ;WD;Wvh;dewP;temp
2021-08-01 00:00:00;11.3;41.1;40.0;0.0;210.0;30.0;150.0;162.0
2021-08-01 01:00:00;10.5;36.5;50.0;0.0;210.0;30.0;147.0;161.0
2021-08-01 02:00:00;10.3;33.1;60.0;0.0;220.0;40.0;143.0;154.0
2021-08-01 03:00:00;8.0;32.0;60.0;0.0;210.0;40.0;144.0;152.0
2021-08-01 04:00:00;9.0;27.8;60.0;1.0;210.0;30.0;151.0;158.0
2021-08-01 05:00:00;7.6;24.1;70.0;5.0;190.0;30.0;152.0;160.0
2021-08-01 06:00:00;9.6;22.1;70.0;3.0;200.0;40.0;154.0;164.0
2021-08-01 07:00:00;10.3;28.4;80.0;9.0;240.0;30.0;147.0;155.0
2021-08-01 08:00:00;9.9;31.4;30.0;0.0;240.0;20.0;146.0;171.0
2021-08-01 09:00:00;29.4;26.1;70.0;0.0;280.0;30.0;151.0;189.0
2021-08-01 10:00:00;34.0;31.3;90.0;0.0;280.0;50.0;144.0;192.0
2021-08-01 11:00:00;15.9;53.2;90.0;0.0;280.0;50.0;142.0;192.0
2021-08-01 12:00:00;11.7;58.8;90.0;0.0;290.0;50.0;150.0;199.0
2021-08-01 13:00:00;22.3;51.7;80.0;0.0;310.0;50.0;148.0;198.0
2021-08-01 14:00:00;15.5;61.7;80.0;0.0;330.0;40.0;129.0;188.0
2021-08-01 15:00:00;5.9;67.8;60.0;0.0;320.0;40.0;136.0;178.0
2021-08-01 16:00:00;3.1;67.8;60.0;0.0;330.0;40.0;120.0;171.0
2021-08-01 17:00:00;5.7;61.5;60.0;0.0;330.0;30.0;127.0;169.0
2021-08-01 18:00:00;5.9;60.7;60.0;0.0;340.0;30.0;117.0;157.0
2021-08-01 19:00:00;7.6;55.0;40.0;0.0;340.0;20.0;119.0;148.0
2021-08-01 20:00:00;13.8;48.5;20.0;0.0;320.0;10.0;122.0;148.0
2021-08-01 21:00:00;7.4;53.5;30.0;0.0;330.0;10.0;114.0;147.0
2021-08-01 22:00:00;8.8;55.2;20.0;0.0;270.0;10.0;116.0;145.0
2021-08-01 23:00:00;10.1;54.1;20.0;0.0;250.0;10.0;118.0;145.0
2021-08-02 00:00:00;7.6;55.8;20.0;0.0;260.0;20.0;117.0;145.0
2021-08-02 01:00:00;3.6;56.9;30.0;0.0;260.0;20.0;119.0;143.0
2021-08-02 02:00:00;4.4;54.1;20.0;0.0;250.0;20.0;99.0;112.0
2021-08-02 03:00:00;6.1;53.1;20.0;0.0;250.0;20.0;104.0;114.0
2021-08-02 04:00:00;12.4;46.2;20.0;0.0;250.0;10.0;107.0;122.0
2021-08-02 05:00:00;26.9;32.8;20.0;0.0;260.0;10.0;119.0;150.0
2021-08-02 06:00:00;26.2;35.4;30.0;0.0;270.0;20.0;114.0;164.0
2021-08-02 07:00:00;12.6;48.3;60.0;0.0;300.0;30.0;122.0;158.0
2021-08-02 08:00:00;11.7;51.1;50.0;0.0;360.0;30.0;115.0;176.0
2021-08-02 09:00:00;9.9;54.4;50.0;0.0;340.0;30.0;109.0;171.0
2021-08-02 10:00:00;12.6;53.7;40.0;0.0;280.0;20.0;96.0;178.0
2021-08-02 11:00:00;11.5;56.9;50.0;0.0;290.0;30.0;102.0;182.0
2021-08-02 12:00:00;5.7;63.5;60.0;0.0;290.0;30.0;109.0;191.0
2021-08-02 13:00:00;11.5;60.6;60.0;0.0;290.0;30.0;102.0;187.0
2021-08-02 14:00:00;10.1;62.4;70.0;0.0;280.0;40.0;101.0;186.0
2021-08-02 15:00:00;13.2;59.7;70.0;0.0;270.0;30.0;104.0;190.0
2021-08-02 16:00:00;8.4;68.6;60.0;0.0;270.0;40.0;101.0;178.0
2021-08-02 17:00:00;13.0;64.6;50.0;0.0;310.0;30.0;102.0;175.0
2021-08-02 18:00:00;9.2;69.5;30.0;0.0;20.0;20.0;100.0;155.0
2021-08-02 19:00:00;10.9;63.5;20.0;0.0;330.0;20.0;111.0;134.0
2021-08-02 20:00:00;29.2;41.9;20.0;0.0;330.0;10.0;112.0;132.0
2021-08-02 21:00:00;23.1;45.6;10.0;0.0;240.0;10.0;114.0;126.0
2021-08-02 22:00:00;31.5;30.8;20.0;0.0;0.0;10.0;111.0;122.0
2021-08-02 23:00:00;29.8;31.0;20.0;0.0;320.0;10.0;113.0;120.0
2021-08-03 00:00:00;43.4;11.4;20.0;0.0;0.0;0.0;112.0;118.0
2021-08-03 01:00:00;35.9;17.6;10.0;0.0;300.0;0.0;110.0;113.0
2021-08-03 02:00:00;28.5;17.6;20.0;0.0;360.0;10.0;110.0;112.0
2021-08-03 03:00:00;31.7;8.7;10.0;0.0;0.0;0.0;102.0;107.0
2021-08-03 04:00:00;40.9;3.0;20.0;0.0;10.0;10.0;102.0;107.0
2021-08-03 05:00:00;50.4;0.0;20.0;0.0;60.0;10.0;107.0;138.0
2021-08-03 06:00:00;50.8;1.0;30.0;0.0;40.0;20.0;107.0;146.0
2021-08-03 07:00:00;45.8;10.1;60.0;0.0;60.0;30.0;122.0;169.0
2021-08-03 08:00:00;30.6;32.7;70.0;0.0;60.0;40.0;118.0;172.0
2021-08-03 09:00:00;16.0;50.0;60.0;0.0;50.0;40.0;111.0;179.0
2021-08-03 10:00:00;15.9;53.9;50.0;0.0;70.0;30.0;107.0;182.0
2021-08-03 11:00:00;14.5;57.6;70.0;0.0;360.0;40.0;121.0;189.0
2021-08-03 12:00:00;16.8;61.2;60.0;0.0;10.0;40.0;119.0;188.0
2021-08-03 13:00:00;21.8;57.1;70.0;0.0;10.0;30.0;111.0;185.0
2021-08-03 14:00:00;24.8;57.3;80.0;0.0;10.0;40.0;112.0;186.0
2021-08-03 15:00:00;25.0;65.9;70.0;0.0;20.0;40.0;118.0;195.0
2021-08-03 16:00:00;19.1;66.1;60.0;0.0;60.0;30.0;124.0;184.0
2021-08-03 17:00:00;23.5;60.3;60.0;0.0;60.0;40.0;128.0;175.0
2021-08-03 18:00:00;21.0;64.3;50.0;0.0;50.0;30.0;124.0;163.0
2021-08-03 19:00:00;20.4;63.3;50.0;0.0;50.0;30.0;118.0;155.0
2021-08-03 20:00:00;29.6;49.9;40.0;0.0;40.0;20.0;122.0;151.0
2021-08-03 21:00:00;42.2;27.4;30.0;0.0;90.0;20.0;112.0;128.0
2021-08-03 22:00:00;43.0;24.2;30.0;0.0;30.0;10.0;125.0;145.0
2021-08-03 23:00:00;23.9;37.8;20.0;0.0;40.0;10.0;121.0;138.0
2021-08-04 00:00:00;13.9;46.3;20.0;0.0;40.0;10.0;120.0;134.0
2021-08-04 01:00:00;29.8;27.6;20.0;0.0;60.0;10.0;116.0;122.0
2021-08-04 02:00:00;25.8;36.2;20.0;0.0;60.0;10.0;114.0;118.0
2021-08-04 03:00:00;14.7;40.4;20.0;0.0;50.0;10.0;117.0;120.0
2021-08-04 04:00:00;17.6;37.0;20.0;0.0;40.0;10.0;122.0;128.0
2021-08-04 05:00:00;24.8;23.6;20.0;0.0;80.0;10.0;125.0;147.0
2021-08-04 06:00:00;27.9;15.0;30.0;0.0;120.0;20.0;125.0;170.0
2021-08-04 07:00:00;29.8;17.6;40.0;0.0;90.0;20.0;123.0;185.0
2021-08-04 08:00:00;22.2;36.8;50.0;0.0;80.0;30.0;119.0;197.0
2021-08-04 09:00:00;19.1;51.0;60.0;0.0;80.0;30.0;115.0;201.0
2021-08-04 10:00:00;13.9;74.2;60.0;0.0;90.0;40.0;114.0;200.0
2021-08-04 11:00:00;10.3;85.0;60.0;0.0;140.0;30.0;113.0;212.0
2021-08-04 12:00:00;10.5;91.5;50.0;0.0;300.0;20.0;133.0;197.0
2021-08-04 13:00:00;14.3;93.5;50.0;5.0;290.0;20.0;156.0;177.0
2021-08-04 14:00:00;25.8;79.1;40.0;0.0;340.0;30.0;149.0;188.0
2021-08-04 15:00:00;29.0;75.5;30.0;0.0;350.0;20.0;143.0;185.0
2021-08-04 16:00:00;38.0;63.1;30.0;0.0;10.0;20.0;133.0;182.0
2021-08-04 17:00:00;38.4;63.1;40.0;0.0;50.0;20.0;136.0;179.0
2021-08-04 18:00:00;36.3;61.8;40.0;0.0;80.0;30.0;140.0;173.0
2021-08-04 19:00:00;37.2;58.5;30.0;0.0;330.0;10.0;142.0;170.0
2021-08-04 20:00:00;37.2;55.9;10.0;0.0;330.0;10.0;145.0;165.0
2021-08-04 21:00:00;30.4;57.8;10.0;0.0;70.0;10.0;139.0;148.0
2021-08-04 22:00:00;33.2;42.6;10.0;0.0;350.0;10.0;145.0;150.0
2021-08-04 23:00:00;26.5;33.5;20.0;0.0;330.0;10.0;135.0;136.0
2021-08-05 00:00:00;29.6;20.8;10.0;0.0;0.0;0.0;127.0;129.0
2021-08-05 01:00:00;33.8;8.2;10.0;0.0;0.0;0.0;121.0;123.0
2021-08-05 02:00:00;37.8;5.7;10.0;0.0;300.0;10.0;123.0;125.0
2021-08-05 03:00:00;30.9;13.3;20.0;0.0;300.0;10.0;124.0;127.0
2021-08-05 04:00:00;33.2;14.7;20.0;0.0;120.0;10.0;132.0;135.0
2021-08-05 05:00:00;40.9;3.4;10.0;0.0;60.0;0.0;140.0;150.0
2021-08-05 06:00:00;47.0;0.1;20.0;0.0;70.0;10.0;141.0;164.0
2021-08-05 07:00:00;53.1;2.9;20.0;0.0;110.0;10.0;147.0;176.0
2021-08-05 08:00:00;46.6;12.0;20.0;0.0;110.0;10.0;150.0;199.0
2021-08-05 09:00:00;43.0;35.7;40.0;0.0;110.0;10.0;138.0;213.0
2021-08-05 10:00:00;39.5;67.0;40.0;0.0;110.0;20.0;134.0;221.0
2021-08-05 11:00:00;13.9;102.0;60.0;0.0;180.0;20.0;127.0;221.0
2021-08-05 12:00:00;11.7;117.7;60.0;0.0;190.0;30.0;128.0;217.0
2021-08-05 13:00:00;14.9;126.1;50.0;0.0;170.0;30.0;139.0;227.0
2021-08-05 14:00:00;14.7;127.8;60.0;0.0;210.0;30.0;131.0;232.0
2021-08-05 15:00:00;15.7;123.2;90.0;0.0;150.0;30.0;130.0;230.0
2021-08-05 16:00:00;15.1;115.6;70.0;0.0;160.0;30.0;129.0;222.0
2021-08-05 17:00:00;14.1;116.3;70.0;0.0;140.0;40.0;130.0;219.0
2021-08-05 18:00:00;14.3;115.3;50.0;0.0;140.0;30.0;133.0;210.0
2021-08-05 19:00:00;16.4;100.6;50.0;0.0;140.0;30.0;135.0;203.0
2021-08-05 20:00:00;18.7;85.7;70.0;0.0;160.0;30.0;139.0;207.0
2021-08-05 21:00:00;20.8;73.6;60.0;3.0;120.0;20.0;154.0;190.0
2021-08-05 22:00:00;25.0;50.5;80.0;0.0;160.0;40.0;144.0;198.0
2021-08-05 23:00:00;17.0;49.7;80.0;0.0;160.0;50.0;139.0;195.0
2021-08-06 00:00:00;14.9;52.4;80.0;7.0;170.0;50.0;151.0;177.0
2021-08-06 01:00:00;8.2;54.2;80.0;2.0;160.0;40.0;154.0;176.0
2021-08-06 02:00:00;8.2;43.6;100.0;0.0;190.0;50.0;160.0;176.0
2021-08-06 03:00:00;3.8;49.3;80.0;0.0;190.0;50.0;160.0;174.0
2021-08-06 04:00:00;5.9;41.7;70.0;0.0;190.0;40.0;159.0;172.0
2021-08-06 05:00:00;6.7;40.7;90.0;0.0;200.0;50.0;155.0;175.0
