DateTime;NO2;O3;P;SQ;WD;Wvh;dewP;temp
2017-08-01 00:00:00;25.54;20.87;10.0;0.0;60.0;10.0;145.0;149.0
2017-08-01 01:00:00;22.03;25.36;20.0;0.0;0.0;10.0;148.0;152.0
2017-08-01 02:00:00;16.73;29.41;10.0;0.0;0.0;0.0;137.0;140.0
2017-08-01 03:00:00;14.55;28.78;10.0;0.0;100.0;0.0;125.0;127.0
2017-08-01 04:00:00;15.84;17.76;30.0;0.0;290.0;10.0;131.0;136.0
2017-08-01 05:00:00;30.39;7.86;30.0;0.0;0.0;10.0;152.0;174.0
2017-08-01 06:00:00;50.68;4.04;20.0;0.0;260.0;10.0;145.0;181.0
2017-08-01 07:00:00;51.06;9.85;30.0;0.0;270.0;10.0;140.0;183.0
2017-08-01 08:00:00;49.25;9.56;30.0;0.0;260.0;20.0;130.0;190.0
2017-08-01 09:00:00;42.65;13.04;50.0;0.0;270.0;20.0;121.0;202.0
2017-08-01 10:00:00;30.34;26.29;40.0;0.0;220.0;20.0;118.0;203.0
2017-08-01 11:00:00;33.57;25.2;40.0;0.0;220.0;20.0;116.0;202.0
2017-08-01 12:00:00;35.15;23.22;30.0;0.0;220.0;20.0;127.0;222.0
2017-08-01 13:00:00;29.32;30.22;30.0;0.0;250.0;20.0;93.0;224.0
2017-08-01 14:00:00;22.37;41.61;50.0;0.0;260.0;20.0;97.0;220.0
2017-08-01 15:00:00;22.16;51.22;40.0;0.0;220.0;20.0;117.0;217.0
2017-08-01 16:00:00;27.8;54.47;50.0;0.0;250.0;20.0;115.0;219.0
2017-08-01 17:00:00;24.23;51.04;40.0;0.0;210.0;20.0;127.0;206.0
2017-08-01 18:00:00;21.47;49.54;40.0;0.0;260.0;20.0;138.0;197.0
2017-08-01 19:00:00;27.61;44.56;30.0;0.0;250.0;10.0;142.0;166.0
2017-08-01 20:00:00;37.64;32.91;20.0;0.0;150.0;10.0;138.0;146.0
2017-08-01 21:00:00;45.36;23.26;10.0;0.0;170.0;10.0;139.0;144.0
2017-08-01 22:00:00;54.56;11.2;20.0;0.0;170.0;10.0;136.0;140.0
2017-08-01 23:00:00;55.91;0.53;30.0;0.0;180.0;10.0;133.0;139.0
2017-08-02 00:00:00;55.91;0.11;20.0;0.0;0.0;10.0;135.0;138.0
2017-08-02 01:00:00;48.51;2.17;20.0;0.0;160.0;10.0;138.0;147.0
2017-08-02 02:00:00;31.11;22.67;20.0;0.0;150.0;10.0;137.0;146.0
2017-08-02 03:00:00;27.62;23.86;30.0;0.0;140.0;20.0;137.0;152.0
2017-08-02 04:00:00;39.32;5.82;20.0;0.0;180.0;10.0;141.0;154.0
2017-08-02 05:00:00;45.78;0.86;40.0;0.0;210.0;20.0;141.0;170.0
2017-08-02 06:00:00;48.46;8.58;50.0;0.0;230.0;20.0;139.0;178.0
2017-08-02 07:00:00;39.84;15.06;60.0;0.0;240.0;30.0;130.0;185.0
2017-08-02 08:00:00;32.62;20.78;70.0;0.0;240.0;40.0;130.0;192.0
2017-08-02 09:00:00;25.53;33.01;80.0;0.0;230.0;30.0;133.0;200.0
2017-08-02 10:00:00;23.77;35.53;60.0;0.0;200.0;40.0;124.0;207.0
2017-08-02 11:00:00;21.24;38.1;70.0;0.0;210.0;40.0;112.0;211.0
2017-08-02 12:00:00;17.87;45.06;60.0;0.0;200.0;30.0;104.0;216.0
2017-08-02 13:00:00;19.75;47.54;60.0;0.0;180.0;40.0;108.0;214.0
2017-08-02 14:00:00;23.74;47.12;80.0;0.0;180.0;40.0;122.0;216.0
2017-08-02 15:00:00;28.06;45.62;100.0;0.0;210.0;40.0;114.0;206.0
2017-08-02 16:00:00;26.53;60.2;120.0;5.0;210.0;70.0;135.0;166.0
2017-08-02 17:00:00;19.29;67.95;70.0;10.0;200.0;30.0;141.0;156.0
2017-08-02 18:00:00;22.09;53.73;40.0;6.0;200.0;10.0;147.0;154.0
2017-08-02 19:00:00;23.87;43.3;40.0;4.0;150.0;20.0;145.0;154.0
2017-08-02 20:00:00;30.57;32.38;40.0;3.0;140.0;20.0;146.0;155.0
2017-08-02 21:00:00;27.85;30.62;40.0;10.0;160.0;20.0;153.0;162.0
2017-08-02 22:00:00;20.6;28.68;60.0;9.0;180.0;30.0;156.0;167.0
