DateTime;NO2;O3
2022-08-01 00:00:00;9.29;42.32
2022-08-01 01:00:00;8.75;38.59
2022-08-01 02:00:00;8.16;38.59
2022-08-01 03:00:00;10.08;29.68
2022-08-01 04:00:00;14.69;27.46
2022-08-01 05:00:00;27.09;24.69
2022-08-01 06:00:00;30.85;23.88
2022-08-01 07:00:00;9.03;39.62
2022-08-01 08:00:00;4.02;48.09
2022-08-01 09:00:00;1.76;52.59
2022-08-01 10:00:00;2.2;53.31
2022-08-01 11:00:00;2.67;57.39
2022-08-01 12:00:00;1.91;63.44
2022-08-01 13:00:00;2.41;65.73
2022-08-01 14:00:00;3.34;67.31
2022-08-01 15:00:00;3.26;66.69
2022-08-01 16:00:00;6.26;67.64
2022-08-01 17:00:00;4.68;69.0
2022-08-01 18:00:00;2.97;67.0
2022-08-01 19:00:00;10.12;50.13
2022-08-01 20:00:00;17.67;39.56
2022-08-01 21:00:00;26.55;22.04
2022-08-01 22:00:00;24.51;26.56
2022-08-01 23:00:00;13.5;36.41
2022-08-02 00:00:00;9.29;38.89
2022-08-02 01:00:00;8.08;42.87
2022-08-02 02:00:00;6.88;45.5
2022-08-02 03:00:00;9.22;43.87
2022-08-02 04:00:00;13.79;38.62
2022-08-02 05:00:00;20.58;31.42
2022-08-02 06:00:00;24.06;32.1
2022-08-02 07:00:00;22.05;37.74
2022-08-02 08:00:00;23.88;36.59
2022-08-02 09:00:00;19.94;40.48
2022-08-02 10:00:00;16.95;52.69
2022-08-02 11:00:00;16.19;70.59
2022-08-02 12:00:00;17.24;77.47
2022-08-02 13:00:00;16.8;86.37
2022-08-02 14:00:00;16.42;84.35
2022-08-02 15:00:00;15.24;71.98
2022-08-02 16:00:00;9.88;53.64
2022-08-02 17:00:00;7.31;45.03
2022-08-02 18:00:00;8.06;38.95
2022-08-02 19:00:00;8.75;23.5
2022-08-02 20:00:00;10.24;19.35
2022-08-02 21:00:00;8.04;18.73
2022-08-02 22:00:00;7.6;18.57
2022-08-02 23:00:00;9.33;15.03
2022-08-03 00:00:00;11.99;9.29
2022-08-03 01:00:00;10.45;9.79
2022-08-03 02:00:00;13.98;5.24
2022-08-03 03:00:00;17.08;3.19
2022-08-03 04:00:00;19.96;2.53
2022-08-03 05:00:00;22.44;1.84
2022-08-03 06:00:00;18.41;4.44
2022-08-03 07:00:00;15.39;8.26
2022-08-03 08:00:00;13.47;12.68
2022-08-03 09:00:00;12.58;16.88
2022-08-03 10:00:00;13.86;20.78
2022-08-03 11:00:00;14.28;26.05
2022-08-03 12:00:00;15.85;32.72
2022-08-03 13:00:00;17.85;43.27
2022-08-03 14:00:00;14.78;54.8
2022-08-03 15:00:00;10.7;67.26
2022-08-03 16:00:00;11.55;71.82
2022-08-03 17:00:00;13.51;74.17
2022-08-03 18:00:00;17.68;60.76
2022-08-03 19:00:00;25.71;48.18
2022-08-03 20:00:00;27.89;34.9
2022-08-03 21:00:00;29.74;19.53
2022-08-03 22:00:00;25.88;19.36
2022-08-03 23:00:00;21.07;18.23
2022-08-04 00:00:00;19.55;22.11
2022-08-04 01:00:00;23.38;21.53
2022-08-04 02:00:00;16.07;31.66
2022-08-04 03:00:00;13.11;32.62
2022-08-04 04:00:00;26.33;18.49
2022-08-04 05:00:00;35.0;20.08
2022-08-04 06:00:00;36.54;15.18
2022-08-04 07:00:00;32.66;12.34
2022-08-04 08:00:00;31.99;13.63
2022-08-04 09:00:00;26.71;27.56
2022-08-04 10:00:00;24.38;43.09
2022-08-04 11:00:00;20.1;49.28
2022-08-04 12:00:00;16.28;55.0
2022-08-04 13:00:00;17.08;64.86
2022-08-04 14:00:00;15.84;65.87
2022-08-04 15:00:00;18.21;62.84
2022-08-04 16:00:00;18.37;58.23
2022-08-04 17:00:00;16.53;58.74
2022-08-04 18:00:00;19.52;51.78
2022-08-04 19:00:00;28.64;46.23
2022-08-04 20:00:00;11.75;57.28
2022-08-04 21:00:00;13.73;61.04
2022-08-04 22:00:00;7.0;69.07
2022-08-04 23:00:00;6.1;72.63
2022-08-05 00:00:00;15.54;62.07
2022-08-05 01:00:00;8.12;60.69
2022-08-05 02:00:00;12.03;60.69
2022-08-05 03:00:00;13.74;50.95
2022-08-05 04:00:00;18.54;46.22
2022-08-05 05:00:00;28.29;37.99
2022-08-05 06:00:00;26.13;38.59
2022-08-05 07:00:00;20.02;50.76
2022-08-05 08:00:00;8.84;60.02
2022-08-05 09:00:00;13.92;54.94
2022-08-05 10:00:00;24.69;46.91
2022-08-05 11:00:00;22.23;46.68
2022-08-05 12:00:00;23.15;44.12
2022-08-05 13:00:00;16.73;54.73
2022-08-05 14:00:00;15.1;60.37
2022-08-05 15:00:00;15.13;60.71
