timestamp,model_name,overall_rmse,overall_mae,Amsterdam_rmse,Rotterdam_rmse,Utrecht_rmse
20250427-220124,unknown,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-220124,SpatialOnlyGCN_no2_only,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-220959,unknown,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-220959,SpatialOnlyGCN_no2_only,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-224147,unknown,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-231123,unknown,12.8214,10.5147,13.5115,13.1673,11.7143
20250427-231123,SpatialOnlyGCN_all_vars,12.8214,10.5147,13.5115,13.1673,11.7143
20250427-231201,unknown,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-231201,SpatialOnlyGCN_no2_only,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-231259,unknown,12.0271,10.1516,12.5426,12.6925,10.7487
20250427-231259,TemporalOnlyGRU_no2_only,12.0271,10.1516,12.5426,12.6925,10.7487
20250427-231259,unknown,12.1171,10.0782,12.4307,12.7597,11.0970
20250427-231259,TemporalOnlyGRU_all_vars,12.1171,10.0782,12.4307,12.7597,11.0970
20250427-231633,unknown,11.5578,9.5912,11.7898,12.4628,10.3164
20250427-231633,AttentionGConvGRU_no2_only,11.5578,9.5912,11.7898,12.4628,10.3164
20250427-233527,unknown,9.9284,7.7187,9.9309,10.5937,9.2124
20250427-233527,ASTGCN_Like_no2_only,9.9284,7.7187,9.9309,10.5937,9.2124
20250427-234612,unknown,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-234612,SpatialOnlyGCN_no2_only,11.2595,9.2364,11.7562,11.8982,10.0278
20250427-234648,unknown,12.8214,10.5147,13.5115,13.1673,11.7143
20250427-234648,SpatialOnlyGCN_all_vars,12.8214,10.5147,13.5115,13.1673,11.7143
20250427-234726,unknown,12.0271,10.1516,12.5426,12.6925,10.7487
20250427-234726,TemporalOnlyGRU_no2_only,12.0271,10.1516,12.5426,12.6925,10.7487
20250427-234756,unknown,12.1171,10.0782,12.4307,12.7597,11.0970
20250427-234756,TemporalOnlyGRU_all_vars,12.1171,10.0782,12.4307,12.7597,11.0970
20250427-231631,unknown,13.5462,11.1593,13.9882,14.2907,12.2720
20250427-231631,BatchedGConvGRUIndex_all_vars,13.5462,11.1593,13.9882,14.2907,12.2720
20250427-231633,unknown,13.1588,10.9436,13.8821,13.8175,11.6545
20250427-231633,AttentionGConvGRU_all_vars,13.1588,10.9436,13.8821,13.8175,11.6545
20250427-233926,unknown,9.7426,7.5173,9.4865,10.5213,9.1686
20250427-233926,ASTGCN_Like_all_vars,9.7426,7.5173,9.4865,10.5213,9.1686
20250427-231629,unknown,10.8335,8.8323,11.1559,11.5305,9.7307
20250427-231629,BatchedGConvGRUIndex_no2_only,10.8335,8.8323,11.1559,11.5305,9.7307
