timestamp,model_name,overall_rmse,Amsterdam_rmse,Rotterdam_rmse,Utrecht_rmse,inference_time_s,inference_energy_kWh,training_energy_kWh,training_co2_kg,inference_co2_kg,
20250501-162301,SpatialOnlyGCN_all_vars,14.0507,14.3701,15.0207,12.6549,5.791,5.06e-06,0.0007913,0.0002118,1.354e-06,
20250501-162508,SpatialOnlyGCN_all_vars,10.7935,11.1324,11.2313,9.9713,5.849,4.603e-06,0.001159,0.0003102,1.232e-06,
20250501-162825,SpatialOnlyGCN_all_vars,10.2948,10.4865,10.7114,9.6564,5.739,4.605e-06,0.0003517,9.411e-05,1.232e-06,
20250501-163929,SpatialOnlyGCN_all_vars,10.3963,10.7064,10.7295,9.7210,5.807,5.062e-06,0.0004977,0.0001332,1.355e-06,
20250501-164054,SpatialOnlyGCN_all_vars,10.2925,10.5378,10.6699,9.6391,5.79,5.202e-06,0.0003716,9.946e-05,1.392e-06,
20250501-164222,SpatialOnlyGCN_all_vars,10.0605,10.3915,10.4399,9.3094,5.787,5.066e-06,0.0002744,7.344e-05,1.356e-06,
20250501-164326,SpatialOnlyGCN_all_vars,10.2015,10.5334,10.4996,9.5402,5.768,5.221e-06,0.000217,5.808e-05,1.397e-06,
20250501-164548,SpatialOnlyGCN_all_vars,10.3963,10.7064,10.7295,9.7210,5.811,5.095e-06,0.0004114,0.0001101,1.364e-06,
20250501-171711,SpatialOnlyGCN_all_vars,11.3300,11.4104,11.7877,10.7685,5.78,5.519e-06,0.0003565,9.541e-05,1.477e-06,
20250501-171854,SpatialOnlyGCN_all_vars,11.7341,11.6319,12.4220,11.1112,5.757,5.139e-06,0.0002603,6.966e-05,1.375e-06,
20250501-231810,SpatialOnlyGCN_all_vars,10.3865,10.7455,10.7265,9.6497,5.948,8.369e-06,0.001617,0.0004328,2.24e-06,
20250501-232153,SpatialOnlyGCN_all_vars,10.3865,10.7455,10.7265,9.6497,6.135,1.819e-05,0.00176,0.000471,4.869e-06,
20250501-232929,SpatialOnlyGCN_all_vars,10.0807,10.4304,10.3933,9.3833,5.903,1.038e-05,0.0004398,0.0001177,2.778e-06,
20250502-002450,TemporalChebConvGRU_all_vars,9.8944,9.9010,10.4137,9.3393,NA,NA,NA,NA,NA,
