timestamp,model_name,overall_rmse,overall_mae,Amsterdam_rmse,Rotterdam_rmse,Utrecht_rmse,inference_time_s,inference_energy_kWh,training_energy_kWh,training_co2_kg,inference_co2_kg
20250501-162301,SpatialOnlyGCN_all_vars,14.0507,,14.3701,15.0207,12.6549,5.791,5.06e-06,0.0007913,0.0002118,1.354e-06,
20250501-162508,SpatialOnlyGCN_all_vars,10.7935,,11.1324,11.2313,9.9713,5.849,4.603e-06,0.001159,0.0003102,1.232e-06,
20250501-162825,SpatialOnlyGCN_all_vars,10.2948,,10.4865,10.7114,9.6564,5.739,4.605e-06,0.0003517,9.411e-05,1.232e-06,
20250501-163929,SpatialOnlyGCN_all_vars,10.3963,,10.7064,10.7295,9.7210,5.807,5.062e-06,0.0004977,0.0001332,1.355e-06,
20250501-164054,SpatialOnlyGCN_all_vars,10.2925,,10.5378,10.6699,9.6391,5.79,5.202e-06,0.0003716,9.946e-05,1.392e-06,
20250501-164222,SpatialOnlyGCN_all_vars,10.0605,,10.3915,10.4399,9.3094,5.787,5.066e-06,0.0002744,7.344e-05,1.356e-06,
20250501-164326,SpatialOnlyGCN_all_vars,10.2015,,10.5334,10.4996,9.5402,5.768,5.221e-06,0.000217,5.808e-05,1.397e-06,
20250501-164548,SpatialOnlyGCN_all_vars,10.3963,,10.7064,10.7295,9.7210,5.811,5.095e-06,0.0004114,0.0001101,1.364e-06,
20250501-171711,SpatialOnlyGCN_all_vars,11.3300,,11.4104,11.7877,10.7685,5.78,5.519e-06,0.0003565,9.541e-05,1.477e-06,
20250501-171854,SpatialOnlyGCN_all_vars,11.7341,,11.6319,12.4220,11.1112,5.757,5.139e-06,0.0002603,6.966e-05,1.375e-06,
20250501-172242,SpatiotemporalGCN_all_vars,12.0095,,12.4077,12.8006,10.7181,6.995,1.515e-05,0.005236,0.001401,4.054e-06,
20250501-173903,SpatiotemporalGCN_all_vars,11.4402,,11.5242,12.2571,10.4684,7.107,1.512e-05,0.002586,0.0006922,4.046e-06,
20250501-174538,STGCN_all_vars,10.8121,,10.7284,11.5255,10.1376,8.233,2.561e-05,0.005145,0.001377,6.853e-06,
20250501-175656,STGCN_all_vars,11.3008,,11.3144,11.7861,10.7793,7.327,1.675e-05,0.004174,0.001117,4.482e-06,
20250501-180619,STGCN_all_vars,10.2182,,10.1728,10.8362,9.6086,7.131,1.698e-05,0.006266,0.001677,4.545e-06,
20250501-182642,STGCN_all_vars,10.8214,,10.8608,11.2457,10.3387,7.75,2.167e-05,0.004809,0.001287,5.8e-06,
20250501-183735,STGCN_all_vars,10.3851,,10.3869,10.9106,9.8295,7.164,1.335e-05,0.005075,0.001358,3.573e-06,
20250501-184949,STGCN_all_vars,10.1397,,10.0917,10.7527,9.5383,7.141,1.371e-05,0.006627,0.001774,3.669e-06,
20250501-192625,STGCN_all_vars,10.5127,,10.3618,11.1631,9.9783,6.799,1.353e-05,0.003031,0.0008111,3.622e-06,
20250501-220558,STGCN_all_vars,10.1751,,10.0083,10.9586,9.5049,6.946,1.66e-05,0.005934,0.001588,4.443e-06,
